"VAR"	"LABEL"	"TYPE"	"INPUT"	"QUESTION"
"AE48"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Paying for Climate Change Mitigation at the Pump in California"
"AE49"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Uniformed as usual. The fire was set by a human being. How does that add up to climate change? Dummy."
"AE50"	"climate change tweet"	"NOMINAL"	"SELECTION"	"How does an asshole starting the fire play into climate change?"
"AE51"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Climate Change Is Real"
"AE52"	"climate change tweet"	"NOMINAL"	"SELECTION"	"I was told Leo cares about climate change. Is this house powered by green energy?"
"AE53"	"climate change tweet"	"NOMINAL"	"SELECTION"	"global warming is a lie!!!11"
"AE54"	"climate change tweet"	"NOMINAL"	"SELECTION"	"But the President told me that climate change was a hoax perpetrated by the Chinese?"
"AE55"	"climate change tweet"	"NOMINAL"	"SELECTION"	"mucus chap fuchsia babys breathes global warming paleturquoise injury need 2016"
"AE56"	"climate change tweet"	"NOMINAL"	"SELECTION"	"I hope climate change doesn't impact burritos 🌯🌯🌯"
"AE57"	"climate change tweet"	"NOMINAL"	"SELECTION"	"""It doesn’t matter whether you believe or don’t believe in climate change,” the huge fucking idiot said out loud for some reason."
"AE58"	"climate change tweet"	"NOMINAL"	"SELECTION"	"What a fool!! Why does he not redirect his 10million to solve global warming instead? #maga"
"AE59"	"climate change tweet"	"NOMINAL"	"SELECTION"	"People don’t start fires. Climate change does."
"AE60"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Kudos to local media for uttering ‘climate change’ on air. Re: #flooding #wildfire #heat #sealevelrise"
"AE61"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Now let's talk about global warming."
"AE62"	"climate change tweet"	"NOMINAL"	"SELECTION"	"The 'activist' in my house thinks all the smoke in my neighbourhood is 'proof' of 'climate change' *sigh*"
"AE63"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Canada isn't the problem when it comes to Climate change."
"AE64"	"climate change tweet"	"NOMINAL"	"SELECTION"	"#GlobalWarming!"
"AE65"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Heat waves are good depending on where you live. Being a brit the global warming has been quite nice this summer"
"AE66"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Al Gore had yet to invent it. Instead he invented climate change"
"AE67"	"climate change tweet"	"NOMINAL"	"SELECTION"	"In the Arctic, things are already getting freaky. Temperatures have warmed three times faster than the global average. #GlobalWarming"
"AE68"	"climate change tweet"	"NOMINAL"	"SELECTION"	"See? Proof climate change is real!!!"
"AE69"	"climate change tweet"	"NOMINAL"	"SELECTION"	"I hope the climate change deniers are enjoying all the rain in the Tristate area."
"AE70"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Very happy today's weather is back to seasonal norms... which really aren't norms anymore but happy it has cooled off #ClimateChangeIsReal"
"AE71"	"climate change tweet"	"NOMINAL"	"SELECTION"	"I'm not sure a lot of you believe in climate change cuz I still see you out here having babies on purpose"
"AE72"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Global Warming is the least of your worries at the moment, it seems :) #QAnon"
"AE73"	"climate change tweet"	"NOMINAL"	"SELECTION"	"- DNC should refuse fossil fuel money. We are living climate change in 2018."
"AE74"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Ummm, I don’t think climate change caused these fires. 🤨"
"AE75"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Did Discovery channel say global warming doesn’t cause ice to melt?"
"AE76"	"climate change tweet"	"NOMINAL"	"SELECTION"	"We can just send a few Republicans there first to set up global warming..."
"AE77"	"climate change tweet"	"NOMINAL"	"SELECTION"	"i bought two vintage burberry coats for 45 euros so this climate change MUST STOP"
"AE78"	"climate change tweet"	"NOMINAL"	"SELECTION"	"I believe in reincarnation so I'm really fucking pissed about climate change!!"
"AE79"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Painful. Need to address climate change and other FACTS. Enough from this ridiculous, incompetent administration."
"AE80"	"climate change tweet"	"NOMINAL"	"SELECTION"	"That pretty much sums up the environment zealots, Climate Change zealots..."
"AF01"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Global warming cannot destroy earth as fast as the cooling off of our hearts toward each other will destroy humanity. #LetUsLoveEachOther"
"AF02"	"climate change tweet"	"NOMINAL"	"SELECTION"	"If it's climate change, why isn't Appalachia on fire?"
"AF03"	"climate change tweet"	"NOMINAL"	"SELECTION"	"It was climate change that wiped out the Mayan population? dinosaurs 🦕🦖? Guess that was man made huh? 🤔 must be cyclical"
"AF04"	"climate change tweet"	"NOMINAL"	"SELECTION"	"the fires are deliberately being started to push global warming narrative"
"AF05"	"climate change tweet"	"NOMINAL"	"SELECTION"	"A romantic, candlelit dinner would be incomplete without Global warming."
"AF06"	"climate change tweet"	"NOMINAL"	"SELECTION"	"In other news, scientists cite additional fire dangers from irate climate change deniers spontaneously combusting."
"AF07"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Just like the climate change huh.. #ChineseHoax #FakeNews 😂"
"AF08"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Change your focus to climate change. You’re spending too much time bawling about shit that doesn’t matter."
"AF09"	"climate change tweet"	"NOMINAL"	"SELECTION"	"about the heat or global warming 🤔??"
"AF10"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Just read a newspaper artical on #climatechange, Co2 burning from 1912. The governments have known all along."
"AF11"	"climate change tweet"	"NOMINAL"	"SELECTION"	"We’re drying up. The great salt lake is drying up. So get use to it since we are OK with climate change 🙄🙄🙄"
"AF12"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Fix Florida first! Single payer! EPA to fight climate change! Florida will soon be under water"
"AF13"	"climate change tweet"	"NOMINAL"	"SELECTION"	"1st mutant fish of the #climatechange?"
"AF14"	"climate change tweet"	"NOMINAL"	"SELECTION"	"I’m super sensitive when it comes to AC’s they always get me sick so idk how I’m going to survive global warming"
"AF15"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Not to quibble, but we must combat the causes of climate change! (not just the effects)"
"AF16"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Am I the only one who had no problem with Richard Branson ""undressing"" Andrew Holness at that climate change conference...?"
"AF17"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Climate change is so interesting, in another life I would have loved to research that"
"AF18"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Maybe I can help: Climate Hysteria Claim* ""Climate change is causing more natural disasters."" Friends of Science Response* ""🐂💩"""
"AF19"	"climate change tweet"	"NOMINAL"	"SELECTION"	"It’s global warming."
"AF20"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Natural selection will take care of the non-believers. I bet they think climate change is a myth 😂"
"AF21"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Do you still fly around in a private jet that runs on fossil fuel, warning people about global warming?"
"AF22"	"climate change tweet"	"NOMINAL"	"SELECTION"	"dont worry theres no global warming"
"AF23"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Algore worships?? What, snow at global warming events?"
"AF24"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Investment advice: Buy single malt Islay Scotch and hold until after global climate change destroys all the peat bogs."
"AF25"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Global warming bouta wake up some ancient evils"
"AF26"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Gojira - Global Warming Live Studio version!"
"AF27"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Simply cannot stop being anxious about the global warming in the future..."
"AF28"	"climate change tweet"	"NOMINAL"	"SELECTION"	"#climatechange had ZERO to do with this. You know that. Stop tweeting nonsense."
"AF29"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Climate change is pseudoscience."
"AF30"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Climate change is also very simple - there's just one problem - GHGs. And a very straightforward solution: Stop emitting."
"AF31"	"climate change tweet"	"NOMINAL"	"SELECTION"	"gonna pretend climate change, state violence, corporate violence, and bigotry dont exist and relax 😊"
"AF32"	"climate change tweet"	"NOMINAL"	"SELECTION"	"My mom doesnt believe in Climate Change. I feel ya Jdubs."
"AF33"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Tweety probably believes global warming is a hoax too."
"AF34"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Paid for scientists that believe the world is oblate and pair shaped. Climate change is pseudoscience."
"AF35"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Thanks to global warming we will all be heat conditioned by the time we go to hell."
"AF36"	"climate change tweet"	"NOMINAL"	"SELECTION"	"I’m sure you have proof that global warming caused the wildfires. I’m sure there have been many fires prior to the SUVs."
"AF37"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Has global warming caused the Thames to rise and games at the Cottage now more akin to water polo?"
"AF38"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Listening to a discussion of climate change on Everyday Ethics. The economist just says “economic growth” over and over."
"AF39"	"climate change tweet"	"NOMINAL"	"SELECTION"	"The global warming effect will still not budge."
"AF40"	"climate change tweet"	"NOMINAL"	"SELECTION"	"A metaphor for our time. Get some good pics, people. #ClimateChange"
"AF41"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Is it a man made fire? Or fire due to climate change?"
"AF42"	"climate change tweet"	"NOMINAL"	"SELECTION"	"I don't have hot chocolates, I have warm chocolates because global warming is a real thing"
"AF43"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Hurrdurr global warming is a chinese fabrication"
"AF44"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Climate change is here to stay folks... enjoy your $0.50 tax cut lol"
"AF45"	"climate change tweet"	"NOMINAL"	"SELECTION"	"YES, climate change is real but grey monkeys reading 'Fifty Shades of Grey' in Kim Kardashian's garage are not. Are they?"
"AF46"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Ed hasn’t yet realized this research will debunk all of his climate change claims."
"AF47"	"climate change tweet"	"NOMINAL"	"SELECTION"	"On climate change: “Time for a grown up conversation to solve global problem”."
"AF48"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Summer season has turned into Fire Season.. sad reality.. #climatechange"
"AF49"	"climate change tweet"	"NOMINAL"	"SELECTION"	"F*** you there's no such thing as global warming I just walked outside in Florida and burst into flames."
"AF50"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Here too, puro ulan din... I do believe in #GlobalWarming #MaineMcDoStaClaraTurns1 BE SAFE YA'LL"
"AF51"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Climate change my azz your such a moron!"
"AF52"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Is that similiar to climate change by ideology rather than science??? Asking for a friend!!"
"AF53"	"climate change tweet"	"NOMINAL"	"SELECTION"	"#OceanStudiesSeminar will be welcoming Dr. Rasher to speak on ""Predator loss, climate change, and the fate of a kelp forest ecosystem"" today"
"AF54"	"climate change tweet"	"NOMINAL"	"SELECTION"	"locals stop using plastic straws and suddenly think they’ve solved global warming"
"AF55"	"climate change tweet"	"NOMINAL"	"SELECTION"	"She cheated on The only difference between me – we need global warming! I’ve said if Ivanka weren’t my body."
"AF56"	"climate change tweet"	"NOMINAL"	"SELECTION"	"why do global-warming deniers think that the literal Earth has the capacity to cry wolf? she's not doing it for attention!!!"
"AF57"	"climate change tweet"	"NOMINAL"	"SELECTION"	"At The Rate We Going With Climatic Changes And Global Warming, In The Upcoming Years It Won't Be Dusty Wind, But Tornado #VansVsAllStars"
"AF58"	"climate change tweet"	"NOMINAL"	"SELECTION"	"People kill me saying “don’t wyd me all day” 😂😂😂 well wtf u wanna talk about? The government? Global Warming? Dow Jones?"
"AF59"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Global warming? 🤔"
"AF60"	"climate change tweet"	"NOMINAL"	"SELECTION"	"tan france is gonna save the world and stop global warming. in this essay i will"
"AF61"	"climate change tweet"	"NOMINAL"	"SELECTION"	"There won’t be a cent paid before it’s done. It’s all about the science you know just like climate change science"
"AF62"	"climate change tweet"	"NOMINAL"	"SELECTION"	"And all the office buildings are unnecessarily super cold in the US, as if it doesn’t add to climate change."
"AF63"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Climate change, idiot."
"AF64"	"climate change tweet"	"NOMINAL"	"SELECTION"	"burlington global warming factory"
"AF65"	"climate change tweet"	"NOMINAL"	"SELECTION"	"good thing climate change is an allegedly Chinese hoax"
"AF66"	"climate change tweet"	"NOMINAL"	"SELECTION"	"climate change definitely isn't real btw"
"AF67"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Correction - Melted Iceland... #ClimateChangeIsReal"
"AF68"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Do without it. If you love climate change like Gov moon beam, suffer for the climate injustice"
"AF69"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Just about as real as global warming."
"AF70"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Just peep page where she says these out of control fires are due to-wait for it — CLIMATE CHANGE!!!"
"AF71"	"climate change tweet"	"NOMINAL"	"SELECTION"	"#Wind #Entrepreneurs use Hashtag #ClimateSolutionsDaily to be posted automatically in our daily paper #ActOnClimate #WeMeanIt"
"AF72"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Red tide is caused by global warming."
"AF73"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Except from climate change, where you’d rather posture and foment confusion."
"AF74"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Um can you say global warming.??.. our oceans are too damn warm people... we really need to see the connection here!!!"
"AF75"	"climate change tweet"	"NOMINAL"	"SELECTION"	"He said he doesn't think climate change is real... So i said goodbye."
"AF76"	"climate change tweet"	"NOMINAL"	"SELECTION"	"man, snow in PA in August? Global warming is off the charts."
"AF77"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Only red wave I'm seeing is the red tide caused by global warming"
"AF78"	"climate change tweet"	"NOMINAL"	"SELECTION"	"basically we caused global warming not being friends"
"AF79"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Global warming. Highest temperature ever recorded at Glacier was this past weekend. Add lightning."
"AF80"	"climate change tweet"	"NOMINAL"	"SELECTION"	"How are you a bigot for making a global warming joke??"
"AG01"	"climate change tweet"	"NOMINAL"	"SELECTION"	"we learn and experience new things everyday... with climate change anything is now possible! 😀"
"AG02"	"climate change tweet"	"NOMINAL"	"SELECTION"	"James Hansen on what the average person can do daily to slow or mitigate climate change."
"AG03"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Still waiting for global warming, all that ice should cover half the Earth, can't wait to call our planet wather world"
"AG04"	"climate change tweet"	"NOMINAL"	"SELECTION"	"I support global warming. Buy more SUVs"
"AG05"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Wow, real close to admitting global warming exists"
"AG06"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Frankly I can't wait for global warming to wash away the Augean Stables that are our coastal cities."
"AG07"	"climate change tweet"	"NOMINAL"	"SELECTION"	"The effect of climate-change..."
"AG08"	"climate change tweet"	"NOMINAL"	"SELECTION"	"If u think global warming is a hoax explain d heavy downpour n floods"
"AG09"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Global Warming reveals deadly disparities-rich & poor: Those who can't escape deadly heat, & those living comfortably with air conditioning!"
"AG10"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Do y'all still not believe in global warming or are we all just gonna wait until places start to become uninhabitable"
"AG11"	"climate change tweet"	"NOMINAL"	"SELECTION"	"No surprise that both the CIA & US Military has warned about Climate Change. Repeatedly."
"AG12"	"climate change tweet"	"NOMINAL"	"SELECTION"	"What Should The Government Do To Fight Climate Change? - Forbes"
"AG13"	"climate change tweet"	"NOMINAL"	"SELECTION"	"And if we have a freezing 2019 that proves global warming false? Weather does not equal climate."
"AG14"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Throw fake global warming on there too."
"AG15"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Climate change and crazy people burning fires for no freaking reason."
"AG16"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Lofl There is no man made climate change #moneyscam"
"AG17"	"climate change tweet"	"NOMINAL"	"SELECTION"	"This is the damn dumbest statement I ever heard. Then climate change is ALL due to Obama."
"AG18"	"climate change tweet"	"NOMINAL"	"SELECTION"	"And #MoronTrump says there is no global warming because it still snows 🤔😉"
"AG19"	"climate change tweet"	"NOMINAL"	"SELECTION"	"I’m dealing with a smoggy sky in Minnesota because of the California smoke you canNOT tell me global warming ain’t real"
"AG20"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Received a great abstract about what Anna Wheeler scholars get wrong about what climate change means for searching."
"AG21"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Mr. Galston, what is the most effective course to reverse global warming?"
"AG22"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Not only am I a proud climate change denier, I’m also a neighbours yield monitor denier."
"AG23"	"climate change tweet"	"NOMINAL"	"SELECTION"	"This is not a surprise. Trump calls global warming ""weather""."
"AG24"	"climate change tweet"	"NOMINAL"	"SELECTION"	"The Best Ways to Communicate Climate Change - WCAI"
"AG25"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Climate change has matches?"
"AG26"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Suuuck. I have felt this pain in Philly and Austin. Sorry you got global warming in the cardboard department."
"AG27"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Please also fight climate change and help us reduce emissions to limit the damage of wildfires made worse by #GlobalWarming"
"AG28"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Global warming is a bitsh."
"AG29"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Only a month ago we were all going to die in a global warming fireball as well."
"AG30"	"climate change tweet"	"NOMINAL"	"SELECTION"	"OH FO you with this climate change chit-apparently mars is too and nobody lives there-lunatic fringe!"
"AG31"	"climate change tweet"	"NOMINAL"	"SELECTION"	"what's wrong with global warming"
"AG32"	"climate change tweet"	"NOMINAL"	"SELECTION"	"The solution to climate change isn't just going to be about using only clean energy - it's about using less energy."
"AG33"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Climate change isn’t the reason for these wild fires. It’s the lack of forestry management."
"AG34"	"climate change tweet"	"NOMINAL"	"SELECTION"	"£250 for picking fruit in Kent though, it'll probably be oranges with the global warming by then"
"AG35"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Trade Center, right now, we need global warming! I’ve said if Ivanka weren’t my office and my body."
"AG36"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Cut your loses early. The CO2 Climate Change Fraud has done enough damage already."
"AG37"	"climate change tweet"	"NOMINAL"	"SELECTION"	"""I like my basil"" - Wow, what an incredible call! ~ Kirstie Alley, Val Kilmer, Global Warming"
"AG38"	"climate change tweet"	"NOMINAL"	"SELECTION"	"AGH, nut mountain meadow foxgloves global warming mediumpurple the need pot"
"AG39"	"climate change tweet"	"NOMINAL"	"SELECTION"	"America Burns From Climate Change While Trump Officials Attend Climate Denial Conference - EcoWatch"
"AG40"	"climate change tweet"	"NOMINAL"	"SELECTION"	"This is why I encourage global warming 😍"
"AG41"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Keep lying to people Kamala. There is no such thing as climate change."
"AG42"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Nervousness rankings: 1. Global warming 2. Drew “Jumpman” Gillett 3. Subject Manning 4. I like basil"
"AG43"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Cho Chang is a metaphor for the opposite of climate change"
"AG44"	"climate change tweet"	"NOMINAL"	"SELECTION"	"I never understood the anti climate change arguments... it's fairly obvious it's real. Beautiful picture by the way"
"AG45"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Rain bombs. Welcome to climate change."
"AG46"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Abolish ice? Indeed something something Trump accelerating climate change something punch line </joke>"
"AG47"	"climate change tweet"	"NOMINAL"	"SELECTION"	"You mean like the religion of Climate Change."
"AG48"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Only the DEMOCRATS lie about climate change."
"AG49"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Wildfires are natural — how is the fire related to climate change?"
"AG50"	"climate change tweet"	"NOMINAL"	"SELECTION"	"What the heck was that? I like my basil? Sincerely Val Kilmer and global warming. Rob in the D"
"AG51"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Busy Signal - One Way [Global Warming Riddim] 2018 (256 kb0Converter)"
"AG52"	"climate change tweet"	"NOMINAL"	"SELECTION"	"INDIGENOUS PEOPLE OF BIAFRA - Indigenous women make biggest sacrifices facing climate change"
"AG53"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Trmp-apptd EPA admin Pruitt maintains humans r not main driver of global warming, and removed most mentions of climate change fr EPA website"
"AG54"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Also sensible with climate change"
"AG55"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Wow that sounded so poetic. Climate change is real."
"AG56"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Global warming would show a grade school teacher a grade school teacher"
"AG57"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Structures. Don't. Matter. Ancient forests, which are unlikely to regenerate due to climate change . They matter."
"AG58"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Waititu: To lessen the impact of global warming, let us move the Earth further away from the sun. #BabaYaoChallenge"
"AG59"	"climate change tweet"	"NOMINAL"	"SELECTION"	"def. be better if the rich helped FIGHT climate change vs continued 'gold digging' 😏"
"AG60"	"climate change tweet"	"NOMINAL"	"SELECTION"	"But I thought it is because of climate change?"
"AG61"	"climate change tweet"	"NOMINAL"	"SELECTION"	"only great loss will convince stupid people that climate change is real."
"AG62"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Climate change and extreme weather has determined there will be no pool parties in Arizona for the near future 😂"
"AG63"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Maybe when Mary Robinson is finished her feminist climate change campaign she can get on the case."
"AG64"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Climate change is real, but this is mostly 100 yeas of bad forest management practices being exasperated by climate change."
"AG65"	"climate change tweet"	"NOMINAL"	"SELECTION"	"I don't care about terrorists anymore or Russia. #climatechange will effect them both as the moon shines on all. Only god knows for sure."
"AG66"	"climate change tweet"	"NOMINAL"	"SELECTION"	"How would civilian participate in this holy mission against global warming?"
"AG67"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Globalization causes global warming."
"AG68"	"climate change tweet"	"NOMINAL"	"SELECTION"	"If the science is settled on climate change, why are we still funding it's research?"
"AG69"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Climate change is real and so is nature’s fate. Good luck changing that."
"AG70"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Climate change? Should we increase carbon tax please?"
"AG71"	"climate change tweet"	"NOMINAL"	"SELECTION"	". Climate Change??? You like that last.lame ass pres Obama are a joke. BTW, Pres. Trump prob has an extra 100 points on your IQ."
"AG72"	"climate change tweet"	"NOMINAL"	"SELECTION"	"knows we shouldn't waste a nickel on global warming obama wasted money on that, Iran, etc"
"AG73"	"climate change tweet"	"NOMINAL"	"SELECTION"	"global warming is real! real time all-kill"
"AG74"	"climate change tweet"	"NOMINAL"	"SELECTION"	"After this summer I dare you to tell me global warming isnt a thing."
"AG75"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Whether you believe that Climate Change is man made or not, can we agree to stop polluting the planet?"
"AG76"	"climate change tweet"	"NOMINAL"	"SELECTION"	"I think we should start calling it Global Warming. Enough of the climate-change-pc-stuff. It's Global Warming."
"AG77"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Shame on you! Don't you care about Global Warming??? Clericalism lives. And the Church dies."
"AG78"	"climate change tweet"	"NOMINAL"	"SELECTION"	"and how do you propose to deal with climate change ignore typical Conservative"
"AG79"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Ranch Fire now largest in California history at 282,479 acres thanks to Global Warming."
"AG80"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Don't call this 100+ degree in late October weather ""global warming."" Call it ""OPPORTUNITY!!!"""
"AH01"	"climate change tweet"	"NOMINAL"	"SELECTION"	"C-Jay says ""Marty-dom"" instead of preventing climate change"
"AH02"	"climate change tweet"	"NOMINAL"	"SELECTION"	"They don't care about climate change, they don't care about their grandchildren."
"AH03"	"climate change tweet"	"NOMINAL"	"SELECTION"	"You’re living proof that being a SEAL doesn’t equate to integrity. Climate Change."
"AH04"	"climate change tweet"	"NOMINAL"	"SELECTION"	"2. security seriously because of climate change. Green is against pay raises for our military men & women but would give that $ to greenies."
"AH05"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Now don’t anyone start thinking this has anything to do with climate change!"
"AH06"	"climate change tweet"	"NOMINAL"	"SELECTION"	"BTW, China is likely a much bigger threat to world prosperity than climate change. Read Pillsbury."
"AH07"	"climate change tweet"	"NOMINAL"	"SELECTION"	"So at home it’s raining and in Wales it’s 22 degrees... Global warming isn’t a myth 😂"
"AH08"	"climate change tweet"	"NOMINAL"	"SELECTION"	"They include my song, Mother Nature... a song of warning about Global Warming..."
"AH09"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Sis it pollutes air... #GlobalWarming"
"AH10"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Oof the bonus issue of is not a good look for.. #climatechange #divestment"
"AH11"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Global warming and profits on prisoners. That is human trafficking."
"AH12"	"climate change tweet"	"NOMINAL"	"SELECTION"	"They were stealing us blind with climate hoax"
"AH13"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Climate change is a hoax! 😠"
"AH14"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Maybe that was global warming and this time we're being punished by an angry god 🤯🙃"
"AH15"	"climate change tweet"	"NOMINAL"	"SELECTION"	"If only Koch Brothers would be supportive of Climate Change and EV revolution."
"AH16"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Meanwhile, the fires in Greece are caused by climate change which your party denies and refuses to do anything about."
"AH17"	"climate change tweet"	"NOMINAL"	"SELECTION"	"I would like to say at this time that this statement was not my actual opinion on global warming as I'm not a moron"
"AH18"	"climate change tweet"	"NOMINAL"	"SELECTION"	"EVERYTHING that happens is because of “Climate Change”."
"AH19"	"climate change tweet"	"NOMINAL"	"SELECTION"	"😂😂😂 vanhu ivavo are responsible for global warming, zec and the lost 15 billion"
"AH20"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Global warming didn't start before we stopped burning witches."
"AH21"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Y'all heard of climate change?"
"AH22"	"climate change tweet"	"NOMINAL"	"SELECTION"	"I.E someone pro climate change"
"AH23"	"climate change tweet"	"NOMINAL"	"SELECTION"	"[Tweet]then the tribalistic divide on climate change will begin to fall away. 13/19"
"AH24"	"climate change tweet"	"NOMINAL"	"SELECTION"	"I'm sure you believes your Twitterclown as well when he says climate change is a chinese hoax, right? ;)"
"AH25"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Too hot for RWNJ this summer back home? You know, not from that global warming thing!"
"AH26"	"climate change tweet"	"NOMINAL"	"SELECTION"	"More evidence of global warming... #loveisthewhy y'all"
"AH27"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Phew! Good thing tells us that climate change isn’t real! Can you imagine if it was? We’d all be screwed."
"AH28"	"climate change tweet"	"NOMINAL"	"SELECTION"	"I fully understand why her right now, we need global warming! I’ve said if Ivanka weren’t my office and beautiful, piece"
"AH29"	"climate change tweet"	"NOMINAL"	"SELECTION"	"what's really sad is the federal government has done very little to help fight Forest fires and climate change..."
"AH30"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Jesey Shore super-fans drive down the east coast to enter a global warming denying scientist in a beauty pageant."
"AH31"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Must be some of that fake climate change Trump keeps talking about."
